author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Самолет;developer;https://www.cian.ru/sale/flat/296653840/;Москва;sale;flat;6;12;1;35.81;8416126;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;10,8 м²;9,7 м²;+74951345942;;;к23;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296431484/;Москва;sale;flat;2;9;1;34.54;8423926;2025;-1;Монолитно-кирпичный;-1;Чистовая;15,8 м²;11 м²;+74951374712;;;15;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/299292020/;Москва;sale;flat;1;16;1;36.22;8486027;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;13,6 м²;11,5 м²;+74951374394;;;13;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/295382361/;Москва;sale;flat;6;16;1;32.7;8450270;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11,6 м²;9,1 м²;+74951347268;;;к6;Филатов Луг;Цветочные Поляны
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/298656609/;Москва;sale;flat;9;20;1;36.7;8646005;2027;-1;Панельный, монолитный;-1;Без отделки, чистовая;11,2 м²;-1;+74951387082;;;7-я фаза;Филатов Луг;Первый Московский ЖК
А101;developer;https://www.cian.ru/sale/flat/295212525/;Москва;sale;flat;10;19;1;38.7;8620863;2025;-1;-1;-1;Без отделки;15,4 м²;10,6 м²;+74951387242;;;5.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/296070966/;Москва;sale;flat;4;17;1;36.7;8594712;2025;-1;-1;-1;Без отделки;13,4 м²;11,7 м²;+74951387242;;;7.1;Улица Горчакова;Бунинские Кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/289983643/;Москва;sale;flat;9;10;1;34.57;8634572;2024;-1;Монолитно-кирпичный;-1;Чистовая;15,8 м²;11 м²;+74951374712;;;к13;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296862676/;Москва;sale;flat;2;14;1;36.48;8590839;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;17,5 м²;11,2 м²;+74951345942;;;к19;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/292167061/;Москва;sale;flat;14;14;1;34.39;8593932;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;11,1 м²;11,5 м²;+74951345942;;;к17;Щербинка;Остафьево ЖК
ПИК;developer;https://www.cian.ru/sale/flat/299523048/;Москва;sale;flat;14;32;1;32.1;8624531;2025;-1;Монолитный;-1;Без отделки, чистовая;9,4 м²;16 м²;+74951379460;Митино;Северо-Западный ао;2.1;Пятницкое шоссе;Митинский Лес ЖК
А101;developer;https://www.cian.ru/sale/flat/292131403/;Москва;sale;flat;9;15;1;33.5;8740619;2025;-1;-1;-1;Без отделки;12,1 м²;9,5 м²;+74951387245;;;;Коммунарка;Деснаречье ЖК
А101;developer;https://www.cian.ru/sale/flat/295212709/;Москва;sale;flat;2;18;1;34.7;8668886;2025;-1;-1;-1;Без отделки;12,8 м²;9,3 м²;+74951387242;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/297650711/;Москва;sale;flat;9;9;1;35.52;8707208;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;11,3 м²;10,2 м²;+74951370082;;;к31;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296431439/;Москва;sale;flat;11;15;1;34.35;8736912;2024;-1;Монолитно-кирпичный;-1;Чистовая;16,1 м²;10,6 м²;+74951374712;;;14;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/299285620/;Москва;sale;flat;4;13;1;36.02;8675796;2024;-1;Монолитно-кирпичный;-1;Чистовая;11 м²;9,4 м²;+74951374712;;;к13;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296653958/;Москва;sale;flat;9;14;1;38.4;8740451;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;17,6 м²;12,2 м²;+74951345942;;;к22;Щербинка;Остафьево ЖК
ПИК;developer;https://www.cian.ru/sale/flat/299523077/;Москва;sale;flat;16;19;1;32.2;8720275;2025;-1;Монолитный;-1;Без отделки, чистовая;9,4 м²;14,7 м²;+74951379460;Митино;Северо-Западный ао;2.4;Пятницкое шоссе;Митинский Лес ЖК
;;https://www.cian.ru/sale/flat/299513197/;Москва;sale;flat;2;17;1;40.7;8792848;2023;-1;-1;-1;-1;-1;-1;+78005116552;Южное Бутово;Варшавское шоссе;282к2;Щербинка;Никольские луга
Самолет;developer;https://www.cian.ru/sale/flat/295930962/;Москва;sale;flat;13;16;1;30.4;8787090;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;9,8 м²;9 м²;+74951374394;;;к18-19;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/299286425/;Москва;sale;flat;2;8;1;35.72;8783408;2025;-1;Монолитно-кирпичный;-1;Чистовая;16,4 м²;11,1 м²;+74951387148;;;;Рассказовка;Квартал Западный ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/297903576/;Москва;sale;flat;2;22;1;35.7;8800000;1978;-1;-1;-1;-1;20,3 м²;8,4 м²;+79099665694;Силино;Зеленоград;к1005;Нахабино;
Группа Аквилон;developer;https://www.cian.ru/sale/flat/299572163/;Москва;sale;flat;2;23;1;28.0;8837276;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;17,9 м²;3,6 м²;+74951375104;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
А101;developer;https://www.cian.ru/sale/flat/292130694/;Москва;sale;flat;6;15;1;37.0;8894208;2025;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;12,4 м²;11,7 м²;+74951387245;;;;Ольховая;Деснаречье ЖК
;;https://www.cian.ru/sale/flat/299212796/;Москва;sale;flat;5;17;1;30.7;8878440;2023;-1;-1;-1;-1;-1;-1;+74951376381;Останкинский;Березовая аллея;19к6;Ботанический сад;Апарт-комплекс Легендарный квартал
А101;developer;https://www.cian.ru/sale/flat/297483137/;Москва;sale;flat;2;8;1;35.7;8888261;2025;-1;-1;-1;Без отделки;12,2 м²;11,4 м²;+74951387242;;;6.1;Бунинская аллея;Бунинские Кварталы ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/298656906/;Москва;sale;flat;2;20;1;43.1;8827249;2027;-1;Панельный, монолитный;-1;Без отделки, чистовая;14,8 м²;-1;+74951387082;;;7-я фаза;Филатов Луг;Первый Московский ЖК
Самолет;developer;https://www.cian.ru/sale/flat/299470720/;Москва;sale;flat;7;11;1;32.48;8886493;2024;-1;Монолитно-кирпичный;-1;Чистовая;10,4 м²;9,9 м²;+74951377086;Молжаниновский;Северный ао;к2;Новоподрезково;Молжаниново ЖК
Евгений Ившин;realtor;https://www.cian.ru/sale/flat/298434260/;Москва;sale;flat;9;9;1;30.0;8800000;1975;-1;-1;-1;-1;18 м²;6 м²;+79164884081;Ивановское; Сталеваров;18К2;Новогиреево;
Самолет;developer;https://www.cian.ru/sale/flat/299286453/;Москва;sale;flat;4;5;1;32.7;8877025;2024;-1;Монолитно-кирпичный;-1;Чистовая;10,3 м²;10,7 м²;+74951387148;;;3.1;Рассказовка;Квартал Западный ЖК
Галина Мартынова;realtor;https://www.cian.ru/sale/flat/293779407/;Москва;sale;flat;7;22;1;35.0;8888888;2021;-1;-1;-1;-1;-1;-1;+79850915326;; Картмазовские Пруды;2к1;Саларьево;Филатов луг
Самолет;developer;https://www.cian.ru/sale/flat/296863639/;Москва;sale;flat;4;20;1;34.7;8881926;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;10,3 м²;15,5 м²;+74951374394;;;15;Летово;Эко Бунино ЖК
Городские квартиры;real_estate_agent;https://www.cian.ru/sale/flat/298516546/;Москва;sale;flat;1;9;1;32.5;8950000;1975;-1;-1;-1;-1;18,7 м²;6,7 м²;+79660553769;Ярославский;Лосевская ;1К4;Бабушкинская;
ТАНДЕМ;real_estate_agent;https://www.cian.ru/sale/flat/292695598/;Москва;sale;flat;8;12;1;32.48;8990000;2024;-1;-1;-1;Чистовая;10,4 м²;9,9 м²;+79660590356;Молжаниновский;Северный ао;к2;Новоподрезково;Молжаниново ЖК
;;https://www.cian.ru/sale/flat/298480769/;Москва;sale;flat;15;25;1;38.04;8994558;2025;-1;-1;-1;-1;-1;-1;+78005116552;Люблино;Юго-Восточный ао;к27;Перерва;Светлый Мир Станция Л ЖК
;;https://www.cian.ru/sale/flat/299212795/;Москва;sale;flat;4;17;1;31.5;8977500;2023;-1;-1;-1;-1;-1;-1;+74951376381;Останкинский;Березовая аллея;19к6;Ботанический сад;Апарт-комплекс Легендарный квартал
Sezar Group;developer;https://www.cian.ru/sale/flat/293291629/;Москва;sale;flat;8;22;1;34.8;8978400;2024;-1;Монолитный;-1;Без отделки;16,8 м²;10,2 м²;+74951370078;;бульвар Андрея Тарковского;к15;Рассказовка;Рассказово
;;https://www.cian.ru/sale/flat/299520378/;Москва;sale;flat;3;17;1;44.4;9009033;2024;-1;-1;-1;-1;-1;-1;+78005116552;Южное Бутово;;2.1;Щербинка;Никольские Луга ЖК
Самолет;developer;https://www.cian.ru/sale/flat/297182956/;Москва;sale;flat;9;23;1;37.54;9064105;2024;-1;Монолитно-кирпичный;-1;Чистовая, чистовая с мебелью;13 м²;12 м²;+74951370861;;;к2.4;Румянцево;Тропарево Парк
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/298891702/;Москва;sale;flat;2;17;1;35.7;9071994;2026;-1;Панельный, монолитный;-1;Без отделки, чистовая;12,6 м²;-1;+74951387083;;;;Мичуринец;Переделкино Ближнее Город-парк
ПИК;developer;https://www.cian.ru/sale/flat/299522979/;Москва;sale;flat;19;32;1;35.9;9198118;2025;-1;Монолитный;-1;Без отделки, чистовая;11 м²;17,2 м²;+74951379460;Митино;Северо-Западный ао;2.1;Пятницкое шоссе;Митинский Лес ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296577117/;Москва;sale;flat;6;9;1;35.4;9155324;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;16,4 м²;10,8 м²;+74951370082;;;к30;Рассказовка;Новое Внуково ЖК
Level Group;developer;https://www.cian.ru/sale/flat/296357330/;Москва;sale;flat;8;23;1;32.7;9125257;2026;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;15,8 м²;9,7 м²;+74951374977;Печатники;;;Кожуховская;Левел Южнопортовая ЖК
Самолет;developer;https://www.cian.ru/sale/flat/299286066/;Москва;sale;flat;3;23;1;39.63;9110012;2024;-1;Монолитно-кирпичный;-1;Чистовая, чистовая с мебелью;14,9 м²;13,1 м²;+74951370861;;;к2.1;Румянцево;Тропарево Парк
Старыгин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/298569707/;Москва;sale;flat;11;14;1;36.6;9100000;1994;-1;-1;-1;-1;18,9 м²;7,1 м²;+79108264803;Южное Бутово;Веневская ;1;Улица Скобелевская;
Самолет;developer;https://www.cian.ru/sale/flat/290481392/;Москва;sale;flat;2;23;1;39.22;9178985;2025;-1;Монолитно-кирпичный;-1;Чистовая, чистовая с мебелью;13,3 м²;12,9 м²;+74951370861;;;к2.2;Румянцево;Тропарево Парк
Группа Аквилон;developer;https://www.cian.ru/sale/flat/298842837/;Москва;sale;flat;2;23;1;39.5;9197674;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;14,6 м²;11,1 м²;+74951375104;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
Level Group;developer;https://www.cian.ru/sale/flat/296357290/;Москва;sale;flat;6;23;1;31.9;9235690;2026;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;15,4 м²;9,3 м²;+74951374977;Печатники;;;Кожуховская;Левел Южнопортовая ЖК
Самолет;developer;https://www.cian.ru/sale/flat/295930626/;Москва;sale;flat;1;10;1;31.9;9222864;2023;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;10,4 м²;9,8 м²;+74951374394;;проспект Куприна;30к9;Летово;Эко Бунино
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/298392717/;Москва;sale;flat;11;12;1;34.8;9200000;-1;-1;-1;-1;-1;13,2 м²;10,6 м²;+79163236639;;проспект Куприна;36к1;Бунинская аллея;Эко Бунино
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299071305/;Москва;sale;flat;12;17;1;34.71;9200000;2024;-1;-1;-1;Чистовая;15,9 м²;10,8 м²;+79645672951;Молжаниновский;Северный ао;к1;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/295807992/;Москва;sale;flat;2;16;1;35.84;9217868;2025;-1;Монолитно-кирпичный;-1;Чистовая;10,8 м²;9,8 м²;+74951377086;Молжаниновский;Северный ао;;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/299286390/;Москва;sale;flat;5;7;1;32.76;9238609;2024;-1;Монолитно-кирпичный;-1;Чистовая;10,2 м²;10,6 м²;+74951387148;;;к1;Рассказовка;Квартал Западный ЖК
Самолет;developer;https://www.cian.ru/sale/flat/295316838/;Москва;sale;flat;4;16;1;38.2;9244916;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;10,4 м²;11,3 м²;+74951347268;;;к3;Филатов Луг;Цветочные Поляны
